Manufacturer,Model,Year,Category,Mileage,FuelType,EngineVolume,DriveWheels,GearBox,Doors,Wheel,Color,LeatherInterior,Price,Clearance
MERCEDES-BENZ,Sprinter,2015,Microbus,123459.0,Diesel,3.0,Rear,Automatic,4/5,Left wheel,Grey,True,6300,False
MERCEDES-BENZ,Sprinter,2012,Microbus,189320.0,Diesel,3.0,Rear,Automatic,4/5,Left wheel,White,True,5700,False
MERCEDES-BENZ,Sprinter,2016,Microbus,108014.0,Diesel,2.1,Rear,Automatic,4/5,Left wheel,Black,True,1600,False
MERCEDES-BENZ,Sprinter,2017,Microbus,34552.0,Diesel,3.0,Rear,Automatic,4/5,Left wheel,White,True,4200,False
TOYOTA,Prius,2010,Hatchback,384000.0,Hybrid,1.8,Front,Tiptronic,4/5,Left wheel,Blue,True,3800,False
MERCEDES-BENZ,Sprinter,2017,Microbus,22011.0,Diesel,3.0,Rear,Automatic,4/5,Left wheel,Grey,True,3800,False
MERCEDES-BENZ,Sprinter,2011,Microbus,159331.0,Diesel,3.0,Rear,Automatic,4/5,Left wheel,White,True,12100,False
MERCEDES-BENZ,Sprinter,2012,Microbus,44112.0,Diesel,3.0,Rear,Automatic,4/5,Left wheel,Blue,True,10000,False
HYUNDAI,Tucson,2010,Jeep,244627.0,Petrol,2.4,4x4,Automatic,4/5,Left wheel,Red,True,1750,False
MERCEDES-BENZ,Sprinter,2003,Microbus,111111.0,Diesel,2.2,Rear,Manual,2/3,Left wheel,White,False,7300,True
MERCEDES-BENZ,GLA 250,2015,Jeep,76000.0,Petrol,2.0,Front,Tiptronic,4/5,Left wheel,Grey,True,15000,True
HYUNDAI,Tucson,2016,Jeep,115205.0,Petrol,1.6,4x4,Automatic,4/5,Left wheel,Brown,True,2350,False
HYUNDAI,Tucson,2012,Jeep,152670.0,Petrol,2.4,Front,Automatic,4/5,Left wheel,Grey,True,1500,False
HYUNDAI,Tucson,2019,Jeep,31200.0,Petrol,2.0,4x4,Automatic,4/5,Left wheel,Blue,True,11400,False
HYUNDAI,Tucson,2015,Jeep,121080.0,Petrol,2.4,4x4,Automatic,4/5,Left wheel,Black,True,2100,False
LAND ROVER,Range Rover SPORT,2012,Jeep,87000.0,Petrol,5.0,4x4,Tiptronic,4/5,Left wheel,Black,True,19500,True
HYUNDAI,Sonata,2017,Sedan,207376.0,Hybrid,2.0,Front,Automatic,4/5,Left wheel,Black,True,2100,False
HYUNDAI,Sonata,2017,Sedan,71016.0,Hybrid,2.0,Front,Automatic,4/5,Left wheel,Black,True,1200,False
FORD,C-MAX,2014,Hatchback,137149.0,Hybrid,2.0,Front,Automatic,4/5,Left wheel,Silver,True,1500,False
FORD,C-MAX,2017,Hatchback,30221.0,Hybrid,2.0,Front,Automatic,4/5,Left wheel,White,True,2150,False
FORD,Fusion,2014,Sedan,226552.0,Hybrid,2.0,Front,Automatic,4/5,Left wheel,Orange,True,1500,False
FORD,Fusion,2016,Sedan,81314.0,Hybrid,2.0,Front,Automatic,4/5,Left wheel,White,True,2250,False
FORD,Fusion,2018,Sedan,50418.0,Hybrid,2.0,Front,Automatic,4/5,Left wheel,Grey,True,1650,False
TOYOTA,FJ Cruiser,2013,Jeep,229678.0,Petrol,4.0,4x4,Automatic,4/5,Left wheel,Blue,True,10800,False
TOYOTA,FJ Cruiser,2010,Jeep,265704.0,Petrol,4.0,Rear,Automatic,4/5,Left wheel,White,True,1600,False
TOYOTA,FJ Cruiser,2007,Jeep,191150.0,Petrol,4.0,4x4,Automatic,4/5,Left wheel,Grey,True,3600,False
TOYOTA,FJ Cruiser,2007,Jeep,271830.0,Petrol,4.0,4x4,Automatic,4/5,Left wheel,Silver,True,1000,False
TOYOTA,FJ Cruiser,2008,Jeep,177302.0,Petrol,4.0,4x4,Automatic,4/5,Left wheel,Grey,True,1650,False
TOYOTA,FJ Cruiser,2012,Jeep,131070.0,Petrol,4.0,4x4,Automatic,4/5,Left wheel,Silver,True,2550,False
TOYOTA,Sequoia,2014,Jeep,105584.0,Petrol,5.7,Rear,Automatic,4/5,Left wheel,Grey,True,6800,False
TOYOTA,Sequoia,2016,Jeep,85837.0,Petrol,5.7,Rear,Automatic,4/5,Left wheel,Grey,True,1300,False
TOYOTA,Sequoia,2010,Jeep,115050.0,Petrol,5.7,4x4,Automatic,4/5,Left wheel,Grey,True,1700,False
TOYOTA,Sequoia,2018,Jeep,36571.0,Petrol,5.7,4x4,Automatic,4/5,Left wheel,Brown,True,19200,False
TOYOTA,Sequoia,2012,Jeep,120800.0,Petrol,5.7,4x4,Automatic,4/5,Left wheel,White,True,5600,False
TOYOTA,Sequoia,2014,Jeep,128341.0,Petrol,5.7,4x4,Automatic,4/5,Left wheel,Black,True,4150,False
SUBARU,Impreza WRX/STI LIMITED,2016,Sedan,48000.0,Petrol,2.5,4x4,Manual,4/5,Left wheel,Blue,True,10200,True
TOYOTA,Camry XLE HYBRID,2012,Sedan,149000.0,Hybrid,2.5,Front,Automatic,4/5,Left wheel,Golden,True,4600,False
NISSAN,Juke,2011,Jeep,110000.0,Petrol,1.6,Front,Tiptronic,4/5,Left wheel,Black,False,3100,False
TOYOTA,Prius,2010,Hatchback,147123.0,Hybrid,1.8,Front,Automatic,4/5,Left wheel,Carnelian red,False,4900,False
HONDA,Insight,2010,Hatchback,252000.0,Hybrid,1.3,Front,Tiptronic,4/5,Left wheel,Carnelian red,False,2250,False
SUBARU,Forester,2014,Jeep,139000.0,Petrol,2.5,4x4,Tiptronic,4/5,Left wheel,Green,False,2900,False
NISSAN,Note,2012,Hatchback,91000.0,Petrol,1.2,Front,Variator,4/5,Right-hand drive,Brown,True,3122,False
SUBARU,Forester,2010,Jeep,184000.0,Petrol,2.5,4x4,Tiptronic,4/5,Left wheel,Grey,False,2850,False
TOYOTA,Land Cruiser Excalibur,2017,Jeep,31500.0,Diesel,4.5,4x4,Tiptronic,>5,Left wheel,Black,True,54500,True
TOYOTA,Prius,2010,Hatchback,107000.0,Petrol,1.8,Front,Automatic,2/3,Left wheel,Beige,False,6000,True
MERCEDES-BENZ,ML 350,2013,Jeep,146577.0,Diesel,3.0,4x4,Tiptronic,4/5,Left wheel,Black,True,19500,False
HONDA,Insight,2010,Hatchback,182000.0,Hybrid,1.3,Front,Tiptronic,4/5,Left wheel,Carnelian red,False,2600,False
LEXUS,GX 460,2010,Jeep,220000.0,Petrol,4.6,4x4,Tiptronic,4/5,Left wheel,White,True,16500,False
HYUNDAI,Sonata,2011,Sedan,167000.0,Hybrid,2.4,Front,Tiptronic,4/5,Left wheel,Carnelian red,False,3200,False
FORD,Fusion,2011,Sedan,224000.0,Hybrid,2.5,Front,Tiptronic,4/5,Left wheel,Grey,False,2250,False
PORSCHE,Cayenne,2012,Jeep,98000.0,Petrol,3.6,4x4,Tiptronic,4/5,Left wheel,Black,True,20500,False
HYUNDAI,Tucson,2016,Jeep,27000.0,Petrol,1.6,4x4,Tiptronic,4/5,Left wheel,White,True,15700,True
SUBARU,Stella,2012,Hatchback,14000.0,Petrol,0.7,Front,Automatic,4/5,Right-hand drive,Silver,False,2200,False
HYUNDAI,Elantra,2015,Sedan,134000.0,Petrol,1.8,Front,Tiptronic,4/5,Left wheel,Silver,False,4000,False
HYUNDAI,Sonata limited,2014,Sedan,71000.0,Hybrid,2.4,Front,Tiptronic,4/5,Left wheel,White,True,7100,True
FORD,Focus se,2012,Hatchback,58832.0,Petrol,2.0,Front,Automatic,4/5,Left wheel,White,False,4200,True
FORD,Transit Custom,2015,Microbus,120000.0,Diesel,2.0,Front,Manual,4/5,Left wheel,White,False,9700,False
TOYOTA,Aqua,2012,Sedan,147431.0,Hybrid,1.5,Front,Tiptronic,4/5,Right-hand drive,White,False,4300,True
KIA,Sportage EX,2012,Jeep,144000.0,Petrol,2.4,Front,Tiptronic,4/5,Left wheel,Red,True,7500,False
TOYOTA,Ist,2004,Sedan,174000.0,Petrol,1.5,4x4,Automatic,4/5,Right-hand drive,Blue,False,3000,True
MITSUBISHI,Outlander,2011,Jeep,208000.0,Petrol,2.0,4x4,Tiptronic,4/5,Left wheel,White,False,6300,True
TOYOTA,Prius,2010,Sedan,155900.0,Hybrid,1.8,Front,Automatic,4/5,Left wheel,White,True,5600,True
TOYOTA,Prius,2013,Hatchback,142774.0,Hybrid,1.8,Front,Automatic,4/5,Left wheel,Sky blue,False,6800,True
HYUNDAI,Elantra,2016,Sedan,67200.0,Petrol,2.0,Front,Tiptronic,4/5,Left wheel,Black,False,7500,False
CHEVROLET,Camaro,2012,Coupe,128000.0,Petrol,3.6,Rear,Tiptronic,2/3,Left wheel,Black,False,2300,False
CHEVROLET,Cruze,2017,Sedan,45000.0,Petrol,1.4,Front,Tiptronic,4/5,Left wheel,Carnelian red,False,7800,True
KIA,Sportage,2012,Jeep,158400.0,Petrol,2.4,Front,Tiptronic,4/5,Left wheel,Red,False,7000,False
MAZDA,Mazda 6,2017,Sedan,90000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Black,True,16000,True
TOYOTA,Prius,2007,Hatchback,141000.0,Hybrid,1.5,Front,Tiptronic,4/5,Left wheel,Silver,False,3900,True
NISSAN,Tiida,2005,Hatchback,160000.0,Petrol,1.5,Front,Variator,4/5,Right-hand drive,Silver,True,2500,True
FORD,Fusion,2014,Sedan,70600.0,Petrol,2.0,Front,Tiptronic,4/5,Left wheel,White,True,6500,False
FORD,Fusion,2014,Sedan,70600.0,Petrol,2.0,Front,Tiptronic,4/5,Left wheel,White,True,6500,False
FORD,Fusion,2013,Sedan,46000.0,Plug-in Hybrid,2.0,Front,Automatic,4/5,Left wheel,White,True,9300,True
FORD,Focus,2014,Sedan,86000.0,Petrol,2.0,Front,Automatic,4/5,Left wheel,White,False,2900,False
CHEVROLET,Volt,2011,Sedan,78000.0,Petrol,1.4,Front,Variator,4/5,Left wheel,Black,True,6700,False
HYUNDAI,Sonata,2013,Sedan,130000.0,Petrol,2.4,Front,Tiptronic,4/5,Left wheel,Black,True,5850,True
HYUNDAI,Elantra,2013,Sedan,130000.0,Petrol,2.4,Front,Tiptronic,4/5,Left wheel,Black,True,5850,True
MERCEDES-BENZ,Viano,2007,Minivan,365000.0,Diesel,3.0,Rear,Tiptronic,4/5,Left wheel,Black,True,9750,True
TOYOTA,Aqua,2013,Hatchback,129000.0,Hybrid,1.5,Front,Variator,4/5,Right-hand drive,White,False,3300,False
FORD,Transit,2008,Microbus,18000.0,Diesel,2.2,Front,Manual,4/5,Left wheel,White,False,4500,True
BMW,X5 M,2011,Jeep,140000.0,Petrol,4.4,4x4,Tiptronic,4/5,Left wheel,Black,True,18110,True
MERCEDES-BENZ,GLA 350,2015,Jeep,73000.0,Petrol,3.5,4x4,Tiptronic,4/5,Left wheel,Black,True,20000,True
NISSAN,Skyline,2001,Sedan,159000.0,Petrol,2.5,Rear,Tiptronic,4/5,Right-hand drive,Brown,False,1500,True
SUBARU,Outback,2011,Jeep,200000.0,Petrol,2.5,4x4,Automatic,4/5,Left wheel,Black,False,5000,False
CHEVROLET,Sonic,2013,Hatchback,62000.0,Petrol,1.8,Front,Automatic,4/5,Left wheel,White,False,3700,False
FORD,Focus,2011,Sedan,94000.0,Petrol,2.0,Front,Automatic,4/5,Left wheel,Black,False,3700,False
CHEVROLET,Cruze,2014,Sedan,68000.0,Petrol,1.8,Front,Manual,4/5,Left wheel,Black,False,4600,False
NISSAN,Versa,2009,Sedan,199000.0,Petrol,1.6,Front,Manual,4/5,Left wheel,Black,False,3300,False
FORD,Focus,2012,Sedan,68000.0,Petrol,2.0,Front,Automatic,4/5,Left wheel,White,False,3700,False
CHEVROLET,Sonic,2012,Sedan,71000.0,Petrol,1.8,Front,Manual,4/5,Left wheel,White,False,3700,False
NISSAN,Juke,2012,Jeep,74000.0,Petrol,1.6,4x4,Tiptronic,4/5,Left wheel,Black,False,6000,False
NISSAN,Note,2005,Sedan,137930.0,Petrol,1.5,Front,Automatic,4/5,Right-hand drive,White,False,2200,True
VOLKSWAGEN,Passat,2017,Sedan,22500.0,Petrol,1.8,Front,Tiptronic,4/5,Left wheel,White,True,11000,False
VOLKSWAGEN,CC,2012,Sedan,10000.0,Petrol,2.0,Front,Tiptronic,4/5,Left wheel,Silver,True,6700,False
TOYOTA,Camry,2013,Sedan,289600.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,White,True,7300,False
SUBARU,Forester,2008,Universal,185000.0,Petrol,2.5,4x4,Automatic,4/5,Left wheel,Silver,True,4900,True
FORD,Transit Sprinter,2002,Microbus,380000.0,Diesel,2.2,Rear,Manual,4/5,Left wheel,White,True,6000,True
FORD,Focus,2013,Sedan,82700.0,Petrol,1.6,Front,Tiptronic,4/5,Left wheel,Blue,False,5000,True
HYUNDAI,Elantra,2014,Sedan,110000.0,Petrol,1.8,Front,Tiptronic,4/5,Left wheel,Carnelian red,False,5200,False
SSANGYONG,Actyon,2017,Jeep,27067.0,Diesel,1.6,Front,Automatic,4/5,Left wheel,White,True,7700,False
TOYOTA,Prius,2007,Sedan,190000.0,LPG,1.5,Front,Automatic,4/5,Left wheel,White,True,4000,True
SSANGYONG,Actyon,2016,Jeep,40598.0,Diesel,1.6,Front,Automatic,4/5,Left wheel,White,True,6948,False
SSANGYONG,Actyon,2017,Jeep,71402.0,Petrol,1.6,Front,Automatic,4/5,Left wheel,Silver,True,11355,False
SSANGYONG,Actyon,2016,Jeep,95000.0,Diesel,1.6,Front,Automatic,4/5,Left wheel,Blue,True,9177,False
SSANGYONG,Actyon,2017,Jeep,64416.0,Diesel,1.6,Front,Automatic,4/5,Left wheel,Blue,True,13163,False
SSANGYONG,Actyon,2016,Jeep,13530.0,Petrol,1.6,Front,Automatic,4/5,Left wheel,White,True,7853,False
NISSAN,Teana 230 JK,2003,Sedan,100000.0,CNG,2.3,Front,Automatic,4/5,Right-hand drive,Silver,False,2030,True
SSANGYONG,Actyon,2017,Jeep,42220.0,Petrol,1.6,Front,Automatic,4/5,Left wheel,White,True,13385,False
SSANGYONG,Actyon,2018,Jeep,24372.0,Petrol,1.6,Front,Automatic,4/5,Left wheel,Blue,True,14031,False
HYUNDAI,Elantra,2014,Sedan,150400.0,Petrol,1.8,Front,Tiptronic,4/5,Left wheel,Carnelian red,False,6000,True
SSANGYONG,Actyon,2017,Jeep,77721.0,Diesel,1.6,Front,Automatic,4/5,Left wheel,White,True,11246,False
SSANGYONG,Actyon,2016,Jeep,133270.0,Diesel,1.6,Front,Automatic,4/5,Left wheel,Blue,True,8296,False
TOYOTA,Prius,2008,Hatchback,168000.0,Hybrid,1.5,Front,Automatic,4/5,Left wheel,Green,True,3400,False
TOYOTA,Prius,2008,Hatchback,147000.0,Hybrid,1.5,Front,Automatic,4/5,Left wheel,Green,True,3500,False
SSANGYONG,Actyon,2016,Jeep,127722.0,Diesel,1.6,Front,Automatic,4/5,Left wheel,White,True,8388,False
SSANGYONG,Actyon,2016,Jeep,120000.0,Diesel,1.6,Front,Automatic,4/5,Left wheel,White,True,8204,False
SSANGYONG,Actyon,2016,Jeep,110000.0,Diesel,1.6,Front,Automatic,4/5,Left wheel,White,True,7835,False
TOYOTA,Sienna,2011,Minivan,84800.0,Petrol,3.5,Front,Automatic,4/5,Left wheel,Grey,False,8900,False
SSANGYONG,REXTON,2009,Jeep,60227.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Silver,True,2950,False
SSANGYONG,Actyon,2016,Jeep,140000.0,Diesel,1.6,Front,Automatic,4/5,Left wheel,White,True,7618,False
SSANGYONG,REXTON,2009,Jeep,56629.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Silver,True,2950,False
SSANGYONG,REXTON,2008,Jeep,60183.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,White,True,2353,False
SSANGYONG,REXTON,2013,Jeep,181796.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Black,True,8630,False
SSANGYONG,REXTON,2009,Jeep,74277.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Silver,True,3300,False
SSANGYONG,REXTON,2007,Jeep,139393.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Black,True,1800,False
SSANGYONG,REXTON,2007,Jeep,109789.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Black,True,5243,False
SUBARU,Legacy,2003,Sedan,175000.0,Petrol,3.0,4x4,Tiptronic,4/5,Right-hand drive,Silver,False,3300,True
SSANGYONG,REXTON,2011,Jeep,185948.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,White,True,5338,False
VOLKSWAGEN,Passat Se,2012,Sedan,154000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Blue,True,5000,False
KIA,Optima,2013,Sedan,190000.0,Petrol,2.4,Front,Tiptronic,4/5,Left wheel,Silver,False,4500,False
VOLKSWAGEN,Passat,2012,Sedan,154000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Silver,True,5000,False
MINI,Countryman sport,2011,Hatchback,141000.0,Petrol,1.6,4x4,Tiptronic,4/5,Left wheel,Red,True,6500,False
MERCEDES-BENZ,GLE 350 AMG,2015,Jeep,40000.0,Petrol,3.5,Rear,Tiptronic,4/5,Left wheel,Silver,True,29200,True
VOLKSWAGEN,Jetta sport,2013,Sedan,178000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Silver,True,4000,False
HYUNDAI,Sonata hybrid,2012,Sedan,157000.0,Hybrid,2.4,Front,Tiptronic,4/5,Left wheel,Grey,True,4500,False
HYUNDAI,Sonata,2011,Sedan,149000.0,Petrol,2.4,Front,Tiptronic,4/5,Left wheel,Blue,False,3500,False
HYUNDAI,Sonata hybrid,2014,Sedan,132000.0,Hybrid,2.4,Front,Tiptronic,4/5,Left wheel,Black,False,6000,False
SSANGYONG,REXTON,2011,Jeep,130663.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Black,True,6147,False
SSANGYONG,REXTON,2013,Jeep,167333.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Black,True,7852,False
FORD,Focus,2013,Hatchback,80000.0,Petrol,2.0,Front,Automatic,4/5,Left wheel,Blue,False,4500,False
SSANGYONG,REXTON,2012,Jeep,80876.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Black,True,10303,False
SSANGYONG,REXTON,2013,Jeep,376356.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Silver,True,6462,False
SSANGYONG,REXTON,2011,Jeep,200241.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Black,True,6379,False
SSANGYONG,REXTON,2007,Jeep,75813.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Silver,True,1850,False
TOYOTA,Alphard,2007,Minivan,235000.0,Petrol,2.4,Front,Automatic,4/5,Right-hand drive,White,False,6500,True
SSANGYONG,REXTON,2010,Jeep,146885.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Silver,True,6837,False
SSANGYONG,REXTON,2009,Jeep,142419.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Black,True,7317,False
SSANGYONG,REXTON,2010,Jeep,113724.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Black,True,7692,False
SSANGYONG,REXTON,2017,Jeep,65689.0,Diesel,2.2,Front,Automatic,4/5,Left wheel,Black,True,19617,False
SSANGYONG,REXTON,2015,Jeep,61551.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Black,True,13988,False
SSANGYONG,REXTON,2011,Jeep,326612.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,White,True,8067,False
HYUNDAI,Elantra GLS,2013,Sedan,82000.0,Petrol,1.8,Front,Tiptronic,4/5,Left wheel,Grey,True,9000,True
SSANGYONG,REXTON,2011,Jeep,207306.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Black,True,5012,False
SSANGYONG,REXTON,2007,Jeep,137000.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,White,True,5471,False
SSANGYONG,REXTON,2011,Jeep,129885.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Black,True,7879,False
SSANGYONG,REXTON,2011,Jeep,83667.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,White,True,8255,False
SSANGYONG,REXTON,2010,Jeep,93376.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Black,True,8255,False
SSANGYONG,REXTON,2013,Jeep,85327.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,White,True,11924,False
SSANGYONG,REXTON,2016,Jeep,73968.0,Diesel,0.0,Front,Automatic,4/5,Left wheel,Black,True,15011,False
SSANGYONG,REXTON,2014,Jeep,52576.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Black,True,15584,False
SSANGYONG,REXTON,2015,Jeep,92870.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Grey,True,15584,False
SSANGYONG,REXTON,2010,Jeep,168044.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Black,True,6097,False
TOYOTA,Prius,2007,Hatchback,214000.0,Hybrid,1.5,Front,Automatic,4/5,Left wheel,Red,False,3200,False
SSANGYONG,REXTON,2013,Jeep,93059.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,White,True,12112,False
SSANGYONG,REXTON,2013,Jeep,114778.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Black,True,12863,False
HONDA,Insight,2010,Hatchback,202000.0,Hybrid,1.3,Front,Automatic,4/5,Left wheel,Silver,False,2900,False
SSANGYONG,REXTON,2016,Jeep,197826.0,Diesel,2.2,Front,Automatic,4/5,Left wheel,Black,True,10698,False
SSANGYONG,REXTON,2008,Jeep,90778.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,White,True,4886,False
TOYOTA,Prius,2010,Hatchback,190000.0,Hybrid,1.8,Front,Automatic,4/5,Left wheel,Grey,True,3900,False
SSANGYONG,REXTON,2008,Jeep,208000.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Black,True,4056,False
BMW,X5,2009,Jeep,112000.0,Petrol,4.8,4x4,Tiptronic,4/5,Left wheel,White,True,6500,False
SSANGYONG,REXTON,2007,Jeep,71657.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,White,True,2110,False
TOYOTA,Prius,2007,Hatchback,212000.0,Hybrid,1.5,Front,Variator,4/5,Left wheel,Red,False,3600,False
SSANGYONG,REXTON,2019,Jeep,14857.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,White,True,22767,False
OPEL,Zafira,2008,Minivan,196000.0,Diesel,1.7,Front,Manual,4/5,Left wheel,Black,False,4400,True
SSANGYONG,REXTON,2013,Jeep,96000.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Silver,True,9487,False
HYUNDAI,Tucson,2011,Jeep,115200.0,Petrol,2.4,4x4,Tiptronic,4/5,Left wheel,Black,True,7500,True
SSANGYONG,REXTON,2013,Jeep,161637.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Black,True,9220,False
SSANGYONG,REXTON,2013,Jeep,151195.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,White,True,7950,False
SSANGYONG,REXTON,2016,Jeep,152800.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Silver,True,9007,False
SSANGYONG,REXTON,2013,Jeep,153641.0,Diesel,1.0,Front,Automatic,4/5,Left wheel,Silver,True,8745,False
SSANGYONG,REXTON,2013,Jeep,136126.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Silver,True,8311,False
SSANGYONG,REXTON,2013,Jeep,137718.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Silver,True,8372,False
SSANGYONG,REXTON,2013,Jeep,225876.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Black,True,8372,False
TOYOTA,RAV 4,2001,Jeep,210000.0,Petrol,2.0,4x4,Automatic,4/5,Left wheel,Silver,False,3800,True
SSANGYONG,REXTON,2013,Jeep,130000.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,White,True,8639,False
BMW,528,2010,Sedan,148094.0,Petrol,3.0,Rear,Tiptronic,4/5,Left wheel,Black,True,5500,False
SSANGYONG,REXTON,2013,Jeep,182396.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Black,True,7526,False
TOYOTA,Prius,2007,Sedan,180000.0,Hybrid,1.5,Front,Variator,4/5,Left wheel,Silver,False,3300,True
TOYOTA,Prius,2007,Sedan,200316.0,Hybrid,1.5,Front,Variator,4/5,Left wheel,White,False,3450,True
BMW,535,2010,Sedan,102033.0,Petrol,3.0,Rear,Tiptronic,4/5,Left wheel,Black,True,11800,True
SSANGYONG,REXTON,2013,Jeep,376356.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Silver,True,5565,False
SSANGYONG,REXTON,2013,Jeep,113000.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,White,True,9539,False
SSANGYONG,REXTON,2013,Jeep,145448.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,White,True,9116,False
SSANGYONG,REXTON,2013,Jeep,154613.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Black,True,8798,False
SSANGYONG,REXTON,2018,Jeep,90105.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Blue,True,20647,False
SSANGYONG,REXTON,2018,Jeep,60000.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Black,True,23689,False
SSANGYONG,REXTON,2019,Jeep,11928.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Blue,True,28575,False
SSANGYONG,REXTON,2008,Jeep,87000.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Silver,True,4886,False
SSANGYONG,REXTON,2018,Jeep,43822.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,White,True,25256,False
SSANGYONG,REXTON,2011,Jeep,70336.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Silver,True,7437,False
HYUNDAI,Sonata 2.0T,2013,Sedan,131200.0,Petrol,2.0,Front,Tiptronic,4/5,Left wheel,White,True,5500,False
SSANGYONG,REXTON,2008,Jeep,106193.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Black,True,1500,False
TOYOTA,RAV 4,2013,Jeep,83000.0,Petrol,2.5,4x4,Tiptronic,4/5,Left wheel,Black,False,9400,False
SSANGYONG,REXTON,2008,Jeep,249933.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Black,True,2950,False
SSANGYONG,Korando,2013,Jeep,50966.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Blue,True,4500,False
SSANGYONG,REXTON,2007,Jeep,65733.0,Diesel,2.7,Front,Automatic,4/5,Left wheel,Black,True,2150,False
SSANGYONG,Korando,2011,Jeep,49870.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Silver,True,4200,False
BMW,535,2013,Sedan,122000.0,Petrol,3.0,Rear,Tiptronic,4/5,Left wheel,Black,True,11500,False
SSANGYONG,Korando,2016,Pickup,34307.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Silver,True,7700,False
SSANGYONG,Korando,2013,Pickup,44899.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,White,True,6150,False
SSANGYONG,Korando,2012,Jeep,161000.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Black,True,5620,False
SSANGYONG,Korando,2016,Jeep,139062.0,Diesel,2.2,Front,Automatic,4/5,Left wheel,Red,True,8321,False
SSANGYONG,Korando,2016,Jeep,92133.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Silver,True,7950,False
SSANGYONG,Korando,2012,Jeep,42986.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Silver,True,3750,False
BMW,X5,2008,Jeep,213000.0,Diesel,3.0,4x4,Tiptronic,4/5,Left wheel,Black,True,8000,True
SSANGYONG,Korando,2013,Jeep,42890.0,Diesel,2.0,Front,Automatic,4/5,Left wheel,Grey,True,3950,False
